,DATE_TIME,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,DAY,HOUR,AC_POWER,AC_POWER_FUTURO
0,2020-05-15 06:00:00,81aHJ1q11NBPMrL,24.74278656666667,24.07722983333333,0.0129619781466666,15,6,14.246666666666668,14.84
1,2020-05-15 06:00:00,9kRcWv60rDACzjR,24.74278656666667,24.07722983333333,0.0129619781466666,15,6,14.84,15.02
2,2020-05-15 06:00:00,LYwnQax7tkwH5Cb,24.74278656666667,24.07722983333333,0.0129619781466666,15,6,15.02,14.673333333333336
3,2020-05-15 06:00:00,LlT2YUhhzqhg5Sw,24.74278656666667,24.07722983333333,0.0129619781466666,15,6,14.673333333333336,13.993333333333334
4,2020-05-15 06:00:00,PeE6FRyGXUgsRhN,24.74278656666667,24.07722983333333,0.0129619781466666,15,6,13.993333333333334,14.679999999999998
5,2020-05-15 06:00:00,V94E5Ben1TlhnDV,24.74278656666667,24.07722983333333,0.0129619781466666,15,6,14.679999999999998,15.213333333333331
6,2020-05-15 06:00:00,WcxssY2VbP4hApt,24.74278656666667,24.07722983333333,0.0129619781466666,15,6,15.213333333333331,14.446666666666664
7,2020-05-15 06:00:00,oZZkBaNadn6DNKz,24.74278656666667,24.07722983333333,0.0129619781466666,15,6,14.446666666666664,14.86
8,2020-05-15 06:00:00,q49J1IKaHRwDQnt,24.74278656666667,24.07722983333333,0.0129619781466666,15,6,14.86,14.546666666666669
9,2020-05-15 06:00:00,rrq4fwE8jgrTyWY,24.74278656666667,24.07722983333333,0.0129619781466666,15,6,14.546666666666669,15.133333333333333
10,2020-05-15 06:00:00,vOuJvMaM2sgwLmb,24.74278656666667,24.07722983333333,0.0129619781466666,15,6,15.133333333333333,13.1
11,2020-05-15 06:00:00,xoJJ8DcxJEcupym,24.74278656666667,24.07722983333333,0.0129619781466666,15,6,13.1,24.35333333333333
12,2020-05-15 06:15:00,81aHJ1q11NBPMrL,24.76391089655172,24.356189448275863,0.0210376687241379,15,6,24.35333333333333,26.50666666666667
13,2020-05-15 06:15:00,9kRcWv60rDACzjR,24.76391089655172,24.356189448275863,0.0210376687241379,15,6,26.50666666666667,25.32857142857143
14,2020-05-15 06:15:00,LYwnQax7tkwH5Cb,24.76391089655172,24.356189448275863,0.0210376687241379,15,6,25.32857142857143,25.564285714285717
15,2020-05-15 06:15:00,LlT2YUhhzqhg5Sw,24.76391089655172,24.356189448275863,0.0210376687241379,15,6,25.564285714285717,25.33333333333333
16,2020-05-15 06:15:00,PeE6FRyGXUgsRhN,24.76391089655172,24.356189448275863,0.0210376687241379,15,6,25.33333333333333,26.26
17,2020-05-15 06:15:00,V94E5Ben1TlhnDV,24.76391089655172,24.356189448275863,0.0210376687241379,15,6,26.26,27.15333333333333
18,2020-05-15 06:15:00,WcxssY2VbP4hApt,24.76391089655172,24.356189448275863,0.0210376687241379,15,6,27.15333333333333,26.63333333333333
19,2020-05-15 06:15:00,oZZkBaNadn6DNKz,24.76391089655172,24.356189448275863,0.0210376687241379,15,6,26.63333333333333,25.9
20,2020-05-15 06:15:00,q49J1IKaHRwDQnt,24.76391089655172,24.356189448275863,0.0210376687241379,15,6,25.9,25.4
21,2020-05-15 06:15:00,rrq4fwE8jgrTyWY,24.76391089655172,24.356189448275863,0.0210376687241379,15,6,25.4,26.88666666666667
22,2020-05-15 06:15:00,vOuJvMaM2sgwLmb,24.76391089655172,24.356189448275863,0.0210376687241379,15,6,26.88666666666667,25.01333333333333
23,2020-05-15 06:15:00,xoJJ8DcxJEcupym,24.76391089655172,24.356189448275863,0.0210376687241379,15,6,25.01333333333333,53.614285714285714
24,2020-05-15 06:30:00,81aHJ1q11NBPMrL,24.7863229,24.548886100000004,0.042435399,15,6,53.614285714285714,58.43571428571429
25,2020-05-15 06:30:00,9kRcWv60rDACzjR,24.7863229,24.548886100000004,0.042435399,15,6,58.43571428571429,57.3
26,2020-05-15 06:30:00,LYwnQax7tkwH5Cb,24.7863229,24.548886100000004,0.042435399,15,6,57.3,56.900000000000006
27,2020-05-15 06:30:00,LlT2YUhhzqhg5Sw,24.7863229,24.548886100000004,0.042435399,15,6,56.900000000000006,54.32142857142857
28,2020-05-15 06:30:00,PeE6FRyGXUgsRhN,24.7863229,24.548886100000004,0.042435399,15,6,54.32142857142857,55.72142857142857
29,2020-05-15 06:30:00,V94E5Ben1TlhnDV,24.7863229,24.548886100000004,0.042435399,15,6,55.72142857142857,59.47857142857142
30,2020-05-15 06:30:00,WcxssY2VbP4hApt,24.7863229,24.548886100000004,0.042435399,15,6,59.47857142857142,56.692857142857136
31,2020-05-15 06:30:00,oZZkBaNadn6DNKz,24.7863229,24.548886100000004,0.042435399,15,6,56.692857142857136,57.273333333333326
32,2020-05-15 06:30:00,q49J1IKaHRwDQnt,24.7863229,24.548886100000004,0.042435399,15,6,57.273333333333326,56.91333333333333
33,2020-05-15 06:30:00,rrq4fwE8jgrTyWY,24.7863229,24.548886100000004,0.042435399,15,6,56.91333333333333,58.1
34,2020-05-15 06:30:00,vOuJvMaM2sgwLmb,24.7863229,24.548886100000004,0.042435399,15,6,58.1,53.785714285714285
35,2020-05-15 06:30:00,xoJJ8DcxJEcupym,24.7863229,24.548886100000004,0.042435399,15,6,53.785714285714285,145.60666666666668
36,2020-05-15 06:45:00,81aHJ1q11NBPMrL,25.04824510344827,25.746662,0.1034958783448276,15,6,145.60666666666668,158.36666666666665
